276.8874, 231.7497, 480.5001, 261.9633, 59.1533, 175.9866, 244.3878, 271.753, 220.926, 26.2939, 5.6135, 7.9206, 29.0963, 0, 43.1455, 295.9647, 81.7973, 82.9046, 109.5527, 273.5587, 214.4917, 181.0452, 149.1421, 250.65, 186.6145, 38.9507, 85.597, 304.7677, 214.5203, 128.7549, 244.2032, 217.8471, 49.6295, 159.3593, 71.0333
300.7865, 258.7191, 504.3993, 285.8624, 92.2898, 207.3143, 268.287, 295.6521, 244.8252, 20.8097, 38.0279, 39.7286, 19.7062, 43.5581, 0, 319.8639, 113.125, 106.8038, 140.8804, 297.4578, 245.8194, 204.9444, 176.1115, 274.5491, 217.9422, 58.0162, 91.7977, 328.6668, 245.848, 160.0826, 268.1024, 241.7463, 89.8565, 198.5163, 121.1562
148.7991, 294.236, 338.6237, 131.2678, 291.392, 262.9065, 62.6174, 64.7413, 138.9504, 307.2768, 294.054, 295.7547, 320.9283, 296.5121, 319.9608, 0, 272.3563, 236.6859, 259.7959, 153.9764, 182.6284, 135.9877, 314.7568, 132.0488, 215.6289, 307.3805, 272.7851, 32.9718, 264.806, 281.2376, 111.8213, 167.856, 279.1759, 306.9126, 270.4574
278.2183, 155.7249, 481.8311, 263.2942, 31.7005, 109.7012, 226.5855, 253.9507, 222.257, 120.8368, 83.4545, 85.1552, 94.106, 81.3804, 133.5209, 272.37, 0, 84.2356, 62.9772, 199.3309, 167.9162, 150.0009, 73.1174, 251.9809, 140.039, 69.9397, 122.9259, 286.9654, 167.9448, 69.4929, 226.4009, 219.1781, 36.5087, 95.5222, 10.2365
197.8017, 222.8392, 401.4145, 182.8776, 96.1441, 160.6947, 185.2774, 212.6425, 141.8404, 93.7152, 80.4924, 82.1931, 107.3667, 82.9506, 106.3993, 236.8543, 84.3592, 0, 112.2078, 214.4482, 192.9625, 121.9348, 151.704, 171.5643, 165.0853, 93.819, 62.5944, 245.6572, 192.8923, 141.7118, 139.6768, 138.7615, 67.3436, 172.3162, 92.3904
295.6378, 142.3624, 491.6606, 278.1065, 81.6531, 73.8817, 214.7502, 242.1154, 250.6661, 128.251, 111.08, 112.7807, 141.1557, 109.0059, 140.9351, 260.5347, 62.6174, 112.6447, 0, 143.8014, 112.3868, 138.1656, 77.4048, 276.1641, 84.5096, 117.5411, 151.335, 275.1301, 112.4154, 45.1544, 214.5657, 247.5872, 71.8902, 77.7385, 60.7185
261.7526, 169.3299, 457.7753, 244.2212, 218.2778, 141.3862, 137.7027, 208.2302, 218.2343, 284.163, 270.9402, 272.6409, 297.8145, 273.3984, 296.847, 154.0758, 199.2421, 213.5721, 143.9375, 0, 36.9685, 104.1039, 178.6635, 242.2788, 94.1085, 284.2668, 249.6713, 185.6346, 124.8708, 150.5328, 180.6805, 240.2488, 208.5148, 172.4361, 197.3431
290.4438, 133.4513, 486.4665, 272.9124, 186.8109, 109.7783, 166.3939, 236.9214, 246.9255, 233.4088, 216.2378, 217.9385, 246.3134, 214.1637, 246.0928, 182.767, 167.7752, 193.8355, 112.4707, 37.0375, 0, 132.7951, 147.1966, 270.97, 62.6417, 222.6988, 236.3236, 214.3258, 88.9922, 119.0659, 209.3716, 268.94, 177.0479, 140.9692, 165.8763
185.588, 242.7573, 381.6108, 168.0567, 168.949, 180.6127, 90.371, 132.0656, 142.0697, 191.9633, 178.7405, 180.4412, 205.6148, 181.1987, 204.6474, 136.0927, 149.9133, 121.3724, 137.3529, 104.8334, 133.4854, 0, 192.3138, 166.1143, 130.5128, 192.0671, 157.4716, 141.1233, 212.8103, 158.7945, 104.5159, 161.0178, 159.4612, 184.4696, 148.0143
346.3871, 89.324, 546.1915, 332.6374, 76.2236, 59.2378, 269.2811, 296.6463, 290.4258, 189.0056, 151.6233, 153.324, 143.9804, 149.5491, 176.255, 315.0656, 73.4597, 152.4043, 77.6006, 178.4392, 147.0245, 192.6965, 0, 320.1497, 110.6749, 107.1666, 191.0946, 329.661, 125.8587, 40.5687, 269.0966, 287.3469, 111.3913, 23.1703, 69.6744
